REF,PM6DH+C,PM6C,PM7C,PM3C,AM1C,PM3S,AM1S,DFTB3S,ChemAxon
9.48,8.2,6.8,10.4,9.4,9.2,6.8,8.8,10.5,9.6
2.18,0.10,0.30,0.31,1.50,1.00,0.91,1.19,0.94,3.01
8.70,6.50,6.50,8.96,8.50,8.60,7.91,8.02,6.24,8.90
9.55,6.80,6.80,9.15,8.10,8.80,7.38,7.86,8.61,9.67
9.56,8.40,7.20,9.88,9.00,9.40,7.83,8.21,8.13,9.67
2.50,0.20,0.30,1.29,2.60,1.80,2.63,1.83,0.82,2.78
9.97,9.30,8.70,10.17,8.60,9.50,8.59,8.92,10.63,9.77
3.90,2.90,3.80,3.14,4.90,3.30,4.48,2.77,-0.17,3.90
6.96,-2.80,1.20,1.03,0.10,1.60,7.56,4.55,-2.97,7.22
10.60,9.60,9.10,11.39,9.90,9.90,8.60,9.19,8.30,10.32
6.80,6.10,6.10,4.12,5.10,5.50,4.20,5.20,5.30,6.53
9.42,11.20,10.00,13.58,9.70,9.20,9.38,8.46,8.37,9.20
5.75,5.10,5.00,7.28,4.70,5.20,4.00,4.00,4.35,6.62
7.52,5.90,5.70,7.17,8.20,7.80,7.15,7.08,6.19,7.35
3.85,5.40,5.60,6.82,2.70,2.50,1.38,1.23,6.56,3.92
8.09,6.00,5.70,7.98,7.60,6.20,6.11,4.70,5.41,9.19
10.34,10.80,10.90,11.88,9.90,9.50,9.80,8.91,9.41,10.02
11.40,14.30,12.40,13.23,13.20,14.00,12.35,12.86,16.22,12.23
9.70,9.50,9.50,9.70,8.90,9.90,9.00,9.44,12.86,9.79
9.13,7.00,6.40,10.00,8.90,8.90,6.95,8.35,9.71,9.18
4.06,2.70,2.10,3.79,1.80,2.20,3.11,1.69,3.14,4.02
9.56,9.90,8.90,12.02,9.60,9.30,9.35,8.41,8.64,9.20
7.32,7.00,6.40,9.37,7.50,9.90,7.24,8.44,7.96,9.80
7.92,3.70,4.20,5.75,5.40,5.70,5.27,5.35,5.92,8.60
10.29,10.20,10.40,11.66,10.90,10.20,10.55,9.59,10.41,10.54
6.40,4.50,4.20,4.44,5.40,5.80,5.42,6.47,1.27,6.08
9.91,9.10,7.60,8.86,8.70,9.70,7.90,8.33,9.19,9.70
9.56,6.80,6.70,9.82,8.70,9.40,7.32,8.64,9.36,9.67
6.39,5.50,6.00,5.03,5.20,5.40,4.63,5.18,5.10,6.77
8.20,5.70,5.50,7.45,7.60,5.60,5.95,4.28,4.90,9.12
9.08,8.80,6.60,13.31,7.30,7.70,6.88,7.72,8.12,8.96
8.46,6.80,6.80,8.79,7.40,7.80,6.61,6.98,7.94,7.92
4.80,3.90,3.90,6.14,5.40,5.30,4.84,4.14,5.15,4.19
8.07,7.20,7.30,8.07,8.40,8.50,8.30,8.00,7.29,8.58
3.24,1.70,1.80,2.41,1.60,1.70,1.41,1.32,-0.67,2.70
3.50,2.00,2.40,3.60,2.50,2.60,2.04,1.84,2.07,3.61
6.40,3.90,4.40,4.71,4.90,5.00,3.48,4.00,7.32,6.03
9.85,9.00,9.00,9.98,9.20,8.70,8.75,8.23,8.89,10.00
9.30,10.30,10.10,10.77,8.60,7.70,8.06,6.91,12.16,8.42
8.86,9.70,9.30,10.05,9.40,9.20,8.35,8.05,9.28,9.45
5.25,5.70,0.50,7.09,6.30,7.70,4.87,6.22,2.30,3.79
6.95,4.60,4.90,6.11,5.00,5.70,4.78,3.63,7.75,5.57
9.11,8.60,6.70,10.91,8.60,8.30,8.53,9.15,9.23,8.96
2.02,-1.00,-0.70,-0.16,2.00,1.40,1.32,0.23,-1.95,2.70
9.61,5.20,6.80,8.83,8.30,8.40,7.50,7.66,8.48,9.67
8.48,6.90,6.50,9.57,8.40,8.50,6.53,7.99,8.23,9.05
9.31,7.40,8.10,8.26,9.30,8.00,7.85,7.48,9.10,9.43
12.00,14.40,13.50,15.87,11.70,12.30,10.83,12.07,9.50,9.16
8.52,9.30,7.80,10.73,9.60,9.00,9.13,9.35,8.72,8.42
8.90,11.50,9.30,13.07,9.40,8.70,9.13,8.53,8.65,8.76
6.78,4.70,3.70,8.06,6.40,6.70,6.21,4.93,6.45,7.09
9.39,11.90,10.20,13.67,10.20,10.20,9.37,10.08,8.06,9.42
9.10,9.60,9.20,11.25,9.50,9.80,8.91,8.38,10.58,9.40
